"Cliente","Strumento","Moneta","Saldo","NumeroValore","Nome","PrezzoMedio","PrezzoMercato","ValorePosizione","ValoreMonetaRiferimento","Evoluzione","Ordine","Categoria","ValoreMercatoMonetaCHF","ValoreMercatoMonetaEUR","ValoreMercatoMonetaUSD","ID_AAA","ID_strumento","ID_transazione","Ticker_indice_per_BETA","Valuta","VariazioneFX"
"pippo131","Oacc","USD",2e+05,"USG2585XAA75","20200923 - 7% CSN Islands (Callable Pereptual 23.09.2015) 23-09-20 Pro-rata",NA,NA,1788.88891601562,1788.88891601562,NA,"D","Obbligazioni e simili          ",1641.48446933594,1360.88924763456,1788.88891601562,1602,2,NA,NA,NA,NA
"pippo131","Oacc","USD",2e+05,"USG6710EAF72","20150914 - 7.5% Odebrecht Finance (Callable Perpetual 14.09.2015) 14-09-15 Pro-rata",NA,NA,2291.66674804688,2291.66674804688,NA,"D","Obbligazioni e simili          ",2102.83340800781,1743.37523624715,2291.66674804688,1600,2,NA,NA,NA,NA
"pippo131","Oacc","USD",9e+05,"USP0763MBW03","20200408 - 7.875% Banco ABC Brasil 08-04-20 Pro-rata",NA,NA,23428.125,23428.125,NA,"D","Obbligazioni e simili          ",21497.6475,17822.8413845569,23428.125,1580,2,NA,NA,NA,NA
"pippo131","Oacc","USD",2e+05,"XS0556373347","20151105 - 8.25% Cosan (Callable Perpetual 05.11.2015) 05-11-15 Pro-rata",NA,NA,91.6666641235352,91.6666641235352,NA,"D","Obbligazioni e simili          ",84.1133309997559,69.7350050388248,91.6666641235352,1601,2,NA,NA,NA,NA
"pippo131","Oacc","BRL",1100000,"XS0626896178","20160516 - 6.25% Banco Votorantim 16-05-16 Pro-rata",NA,NA,15468.75,8994.50517502035,NA,"D","Obbligazioni e simili          ",8253.35794859867,6842.52961203526,8994.50517502035,1739,2,NA,NA,NA,NA
"pippo131","A","CHF",1000,"1107539CH","Zurich Financial Services N",371,227.5,227500,247929.380993897,-0.386792452830189,"E","Azioni e simili",227500,188611.168500492,247929.380993897,1052,1,NA,"SMI.S",NA,NA
"pippo131","O      ","BRL",1e+06,"10897481","20140128 - 9.75% EBRD 28-01-14",99.285,104.26,1042600,606233.282939877,0.0501082741602459,"D ","Obbligazioni e simili          ",556279.660425631,461189.260509606,606233.282939877,1267,2,NA,NA,NA,NA
"pippo131","O      ","BRL",1100000,"10955369","20130204 - 9.5% IADB 04-02-13",99.4775,101.52,1116720,649331.317595069,0.0205322811691084,"D ","Obbligazioni e simili          ",595826.417025235,493975.89775205,649331.317595069,1269,2,NA,NA,NA,NA
"pippo131","O      ","USD",4e+05,"2797086","20361121 - 6.875% Vale Overseas LTD 21-11-36",98.3272222222222,117.68,470720,470720,0.196820141364718,"D ","Obbligazioni e simili          ",431932.672,358098.13617345,470720,1082,2,NA,NA,NA,NA
"pippo131","O      ","BRL",1e+06,"3630668","20121220 - 11% BNG 20-12-12",102,102.34,1023400,595069.194092336,0.00333333333333341,"D ","Obbligazioni e simili          ",546035.492499128,452696.229815395,595069.194092336,1129,2,NA,NA,NA,NA
